
peaksime
hakkasid
peaks
hakkas
saa
pidades
minda
tegema
peetagu
pidime
teeb
saamast
olnuksime
tehku
võiksin
olnuksin
hakati
peaksite
võidaks
tulda
tegime
olemas
võime
olnuvat
läheksime
tehtama
lähte
teinuksid
hakanuksid
hakkaksite
saanuks
hakanuvat
peeti
mindud
minna
teha
pidanuksite
võidav
pea
võiksite
läinuksin
või
võigu
läheks
saadakse
olles
hakka
võisin
peab
lähen
oldagu
peetama
teed
sai
olnuksite
pidasin
tehtagu
hakanuks
teeks
olda
olev
saanuvat
võimas
tulen
pead
saamas
polnuks
võis
hakkan
tulnuvat
saad
teinuksite
hakkaksime
oleksin
võivad
hakkavat
tulev
polnud
hakakem
tegev
pidamast
mindav
tehtavat
tulemaks
tulime
olnuks
peetuks
hakkab
oleksite
oldaks
olemaks
saanuksid
läheme
pidanud
hakkate
hakkame
olete
saaksite
poleks
olnud
tulid
hakkamata
saadama
saaksin
olduvat
tulduvat
oleks
võimast
olid
pidagu
olgem
tegemaks
peeta
võides
võimaks
tulnuksite
võivat
saadav
hakatuks
saama
tuldud
tulge
tulnud
teeme
saavat
mine
läinuks
teete
tule
pidite
saagem
pidid
saaksime
peaksin
olnuksid
võinuksime
hakanud
saanuksite
pidasime
minnes
olite
oleksime
oled
võib
lähe
peetakse
tulemast
tehke
hakkamaks
tulemas
võidavat
oldud
hakaku
läheksite
hakatama
olemast
tehtav
hakkama
läinuksid
võinuksin
tuldavat
pole
võisid
pidasid
saan
saate
tulduks
saadagu
hakatavat
saadi
tuled
minge
võidakse
hakkaksin
võidagu
saadavat
läheb
hakanuksime
tulete
hakatuvat
oleksid
saadaks
tuleksite
peetuvat
teinuksin
pidamata
hakkamast
on
olime
tullakse
võisime
saada
tulnuksid
tulla
tehta
tulin
saanuksin
saav
olduks
tulnuks
saanud
tegite
saaduvat
tehti
pean
minevat
tehakse
võiduks
hakata
tuldaks
hakatud
teeksite
võiksime
läinuksite
ole
saavad
tulite
saaksid
teeksime
pidanuks
hakake
lähme
olevat
mingem
hakates
tegemas
mingu
läinuvat
võidi
olgu
hakatagu
minemata
saadud
tuleksin
läksite
lähete
tulnuksin
pidasite
läksime
tulema
teeksid
tehtuks
saite
läksid
tegevat
pidanuksid
läinud
tegin
tulevat
oli
hakatav
tuldi
minemast
mindi
võiksid
võidama
võima
olin
oldavat
tegemast
peetavat
olge
teen
peetav
hakkad
mindagu
hakkasite
mindavat
peame
minduvat
võid
hakatakse
hakkav
tehkem
oleme
hakkasin
oldama
olema
tuleksime
võite
läheksin
olen
tulgem
tulnuksime
pidage
hakkaks
pidanuksime
läheksid
saamaks
tuldav
teinuvat
hakataks
mindaks
võinuks
pidavat
võige
pidada
pidamas
saaduks
saab
tee
läks
pidas
teinuksime
hakkavad
saamata
peetaks
peaksid
tehes
teinuks
tuleksid
võinuksid
tegid
tulevad
võin
hakkamas
saime
lähevad
tegi
pidagem
tuleb
lähed
tuleks
teeksin
võimata
saame
võiduvat
võida
saanuksime
oldi
teevad
läksin
pidav
ollakse
hakanuksite
hakkasime
olla
lähvad
minnakse
võiv
tegemata
hakanuksin
hakkaksid
tehtud
minemaks
võinuksite
tehtuvat
peetud
minemas
läinuksime
minev
pidanuvat
mindama
oldav
võinud
minema
peate
polevat
tuli
tulemata
pidamaks
võidud
saaks
minduks
võigem
olemata
tulles
pidanuksin
tuldama
pidin
tuldagu
said
pidi
võisite
tuleme
tehtaks
saades
saagu
saage
tulgu
võiks
teinud
võinuvat
sain
pidama
poldud
peavad
