case;singular;plural
tr;kelleks;kelledeks, kelleks
ter;kelleni;kelledeni, kelleni
es;kellena;kelledena, kellena
ab;kelleta;kelledeta, kelleta
kom;kellega;kelledega, kellega
n;kumb;kummad
g;kumma;kumbade
p;kumba;kumbi, kumbasid
ill;kummasse;kumbadesse
in;kummas;kumbades
el;kummast;kumbadest
all;kummale;kumbadele
ad;kummal;kumbadel
abl;kummalt;kumbadelt
tr;kummaks;kumbadeks
ter;kummani;kumbadeni
es;kummana;kumbadena
ab;kummata;kumbadeta
kom;kummaga;kumbadega
n;kumbki;
g;kummagi;
p;kumbagi;
ill;kummassegi;
in;kummaski;
el;kummastki;
all;kummalegi;
ad;kummalgi;
abl;kummaltki;
tr;kummakski;
ter;kummanigi;
es;kummanagi;
ab;kummatagi;
kom;kummagagi;
n;kõik, kõik;kõigud, kõik
g;kõige, kõigu;kõigi, kõikide, kõikude
p;kõike, kõiku;kõike, kõiki, kõikisid, kõikusid
ill;kõigesse, kõigusse;kõigisse, kõikidesse, kõikudesse
in;kõiges, kõigus;kõigis, kõikides, kõikudes
el;kõigest, kõigust;kõigist, kõikidest, kõikudest
all;kõigele, kõigule;kõigile, kõikidele, kõikudele
ad;kõigel, kõigul;kõigil, kõikidel, kõikudel
abl;kõigelt, kõigult;kõigilt, kõikidelt, kõikudelt
tr;kõigeks, kõiguks;kõigiks, kõikideks, kõikudeks
ter;kõigeni, kõiguni;kõigini, kõikideni, kõikudeni
es;kõigena, kõiguna;kõigina, kõikidena, kõikudena
ab;kõigeta, kõiguta;kõigita, kõikideta, kõikudeta
kom;kõigega, kõiguga;kõigiga, kõikidega, kõikudega
n;meiesugune;meiesugused
g;meiesuguse;meiesuguste
p;meiesugust;meiesuguseid
ill;meiesugusesse;meiesugustesse, meiesuguseisse
in;meiesuguses;meiesugustes, meiesuguseis
el;meiesugusest;meiesugustest, meiesuguseist
all;meiesugusele;meiesugustele, meiesuguseile
ad;meiesugusel;meiesugustel, meiesuguseil
abl;meiesuguselt;meiesugustelt, meiesuguseilt
tr;meiesuguseks;meiesugusteks, meiesuguseiks
ter;meiesuguseni;meiesugusteni, meiesuguseini
es;meiesugusena;meiesugustena, meiesuguseina
ab;meiesuguseta;meiesugusteta
kom;meiesugusega;meiesugustega
n;meietaoline;meietaolised
g;meietaolise;meietaoliste
p;meietaolist;meietaolisi, meietaoliseid
ill;meietaolisesse;meietaolisisse, meietaolistesse, meietaoliseisse
in;meietaolises;meietaolisis, meietaolistes, meietaoliseis
el;meietaolisest;meietaolisist, meietaolistest, meietaoliseist
all;meietaolisele;meietaolisile, meietaolistele, meietaoliseile
ad;meietaolisel;meietaolisil, meietaolistel, meietaoliseil
abl;meietaoliselt;meietaolisilt, meietaolistelt, meietaoliseilt
tr;meietaoliseks;meietaolisiks, meietaolisteks, meietaoliseiks
ter;meietaoliseni;meietaolisteni
es;meietaolisena;meietaolistena
ab;meietaoliseta;meietaolisteta
kom;meietaolisega;meietaolistega
n;midagi;midagid
g;midagi;midagide
p;midagit;midagisid
ill;midagisse;midagidesse
in;midagis;midagides
el;midagist;midagidest
all;midagile;midagidele
ad;midagil;midagidel
abl;midagilt;midagidelt
tr;midagiks;midagideks
ter;midagini;midagideni
es;midagina;midagidena
ab;midagita;midagideta
kom;midagiga;midagidega
n;mihuke;mihukesed
g;mihukese;mihukeste
p;mihukest;mihukesi
ill;mihukesesse;mihukesisse, mihukestesse
in;mihukeses;mihukesis, mihukestes
el;mihukesest;mihukesist, mihukestest
all;mihukesele;mihukesile, mihukestele
ad;mihukesel;mihukesil, mihukestel
abl;mihukeselt;mihukesilt, mihukestelt
tr;mihukeseks;mihukesiks, mihukesteks
ter;mihukeseni;mihukesteni
es;mihukesena;mihukestena
ab;mihukeseta;mihukesteta
kom;mihukesega;mihukestega
n;mihukene;mihukesed
g;mihukese;mihukeste
p;mihukest;mihukesi
ill;mihukesesse;mihukesisse, mihukestesse
in;mihukeses;mihukesis, mihukestes
el;mihukesest;mihukesist, mihukestest
all;mihukesele;mihukesile, mihukestele
ad;mihukesel;mihukesil, mihukestel
abl;mihukeselt;mihukesilt, mihukestelt
tr;mihukeseks;mihukesiks, mihukesteks
ter;mihukeseni;mihukesteni
es;mihukesena;mihukestena
ab;mihukeseta;mihukesteta
kom;mihukesega;mihukestega
n;milletaoline;milletaolised
g;milletaolise;milletaoliste
p;milletaolist;milletaolisi, milletaoliseid
ill;milletaolisesse;milletaolisisse, milletaolistesse, milletaoliseisse
in;milletaolises;milletaolisis, milletaolistes, milletaoliseis
el;milletaolisest;milletaolisist, milletaolistest, milletaoliseist
all;milletaolisele;milletaolisile, milletaolistele, milletaoliseile
ad;milletaolisel;milletaolisil, milletaolistel, milletaoliseil
abl;milletaoliselt;milletaolisilt, milletaolistelt, milletaoliseilt
