a
abil
aina
ainult
alalt
alates
alati
alles
b
c
d
e
eales
ealeski
edasi
edaspidi
eelkõige
eemal
ei
eks
end
enda
enese
ennem
esialgu
f
g
h
hoopis
i
iganes
igatahes
igati
iial
iialgi
ikka
ikkagi
ilmaski
iseenda
iseenese
iseenesest
isegi
j
jah
ju
juba
juhul
just
järelikult
k
ka
kah
kas
kasvõi
keda
kestahes
kogu
koguni
kohati
kokku
kuhu
kuhugi
kuidagi
kuidas
kunagi
kus
kusagil
kusjuures
kuskil
kust
kõigepealt
küll
l
liiga
lisaks
m
miks
mil
millal
millalgi
mispärast
mistahes
mistõttu
mitte
muide
muidu
muidugi
muist
mujal
mujale
mujalt
mõlemad
mõnda
mõne
mõnikord
n
nii
niikaua
niimoodi
niipaljuke
niisama
niisiis
niivõrd
nõnda
nüüd
o
omaette
omakorda
omavahel
ometi
p
palju
paljuke
palju-palju
peaaegu
peagi
peamiselt
pigem
pisut
praegu
päris
r
rohkem
s
samas
samuti
seal
sealt
sedakorda
sedapuhku
seega
seejuures
seejärel
seekord
seepärast
seetõttu
sellepärast
seni
sestap
siia
siiani
siin
siinkohal
siis
siiski
siit
sinna
suht
š
z
ž
t
teel
teineteise
tõesti
täiesti
u
umbes
v
w
veel
veelgi
vist
võibolla
võib-olla
väga
vähemalt
välja
väljas
väljast
õ
ä
ära
ö
ü
ühtlasi
üksi
ükskõik
ülal
ülale
ülalt
üles
ülesse
üleval
ülevalt
ülimalt
üsna
x
y
