aga
ega
ehk
ehkki
elik
ellik
enge
ennegu
ent
et
ja
justkui
kui
kuid
kuigi
kuivõrd
kuna
kuni
kut
mistab
muudkui
nagu
nigu
ning
olgugi
otsekui
otsenagu
selmet
sest
sestab
vaid
või
