aa
adaa
adjöö
ae
ah
ahaa
ahah
ah-ah-ah
ah-haa
ahoi
ai
aidaa
aidu-raidu
aih
aijeh
aituma
aitäh
aitüma
ammuu
amps
ampsti
aptsih
ass
at
ata
at-at-at
atsih
atsihh
auh
bai-bai
bingo
braavo
brr
ee
eeh
eh
ehee
eheh
eh-eh-hee
eh-eh-ee
ehei
ehh
ehhee
einoh
ena
ennäe
ennäh
fuh
fui
fuih
haa
hah
hahaa
hah-hah-hah
halleluuja
hallo
halloo
hass
hee
heh
he-he-hee
hei
heldeke(ne)
heureka
hihii
hip-hip-hurraa
hmh
hmjah
hoh-hoh-hoo
hohoo
hoi
hollallaa
hoo
hoplaa
hopp
hops
hopsassaa
hopsti
hosianna
huh
huidii
huist
hurjah
hurjeh
hurjoh
hurjuh
hurraa
huu
hõhõh
hõi
hõissa
hõissassa
hõk
hõkk
häh
hä-hä-hää
hüvasti
ih-ah-haa
ih-ih-hii
ii-ha-ha
issake
issakene
isver
jaa-ah
ja-ah
jaah
janäe
jeeh
jeerum
jeever
jessas
jestas
juhhei
jumalaga
jumalime
jumaluke
jumalukene
jutas
kaaps
kaapsti
kaasike
kae
kalps
kalpsti
kannäe
kanäe
kappadi
kaps
kapsti
karkõmm
karkäuh
karkääks
karkääksti
karmauh
karmauhti
karnaps
karnapsti
karniuhti
karpartsaki
karpauh
karpauhti
karplauh
karplauhti
karprauh
karprauhti
karsumdi
karsumm
kartsumdi
kartsumm
karviuh
karviuhti
kaske
kassa
kauh
kauhti
keh
keksti
kepsti
khe
khm
kih
kiiks
kiiksti
kiis
kiiss
kikerii
kikerikii
kili
kilk
kilk-kõlk
kilks
kilks-kolks
kilks-kõlks
kill
killadi
killadi|-kolladi
killadi-kõlladi
killa-kolla
killa-kõlla
kill-kõll
kimps-komps
kipp
kips-kõps
kiriküüt
kirra-kõrra
kirr-kõrr
kirts
klaps
klapsti
klirdi
klirr
klonks
klops
klopsti
kluk
klu-kluu
klõks
klõksti
klõmdi
klõmm
klõmpsti
klõnks
klõnksti
klõps
klõpsti
kläu
kohva-kohva
kok
koks
koksti
kolaki
kolk
kolks
kolksti
koll
kolladi
komp
komps
kompsti
kop
kopp
koppadi
kops
kopsti
kossu
kotsu
kraa
kraak
kraaks
kraaps
kraapsti
krahh
kraks
kraksti
kraps
krapsti
krauh
krauhti
kriiks
kriiksti
kriips
kriips-kraaps
kripa-krõpa
krips-kraps
kriuh
kriuks
kriuksti
kromps
kronk
kronks
krooks
kruu
krõks
krõksti
krõpa
krõps
krõpsti
krõuh
kräu
kräuh
kräuhti
kräuks
kss
kukeleegu
kukku
kuku
kulu
kurluu
kurnäu
kuss
kussu
kõks
kõksti
kõldi
kõlks
kõlksti
kõll
kõmaki
kõmdi
kõmm
kõmps
kõpp
kõps
kõpsadi
kõpsat
kõpsti
kõrr
kõrra-kõrra
kõss
kõtt
kõõksti
kärr
kärts
kärtsti
käuks
käuksti
kääga
kääks
kääksti
köh
köki-möki
köksti
laks
laksti
lampsti
larts
lartsti
lats
latsti
leelo
legoo
lehva
liiri-lõõri
lika-lõka
likat-lõkat
limpsti
lips
lipsti
lirts
lirtsaki
lirtsti
lonksti
lops
lopsti
lorts
lortsti
luks
lups
lupsti
lurts
lurtsti
lõks
lõksti
lõmps
lõmpsti
lõnks
lõnksti
lärts
lärtsti
läts
lätsti
lörts
lörtsti
lötsti
lööps
lööpsti
marss
mats
matsti
mauh
mauhti
mh
mhh
mhmh
miau
mjaa
mkm
m-mh
mnjaa
mnjah
moens
mulks
mulksti
mull-mull
mull-mull-mull
muu
muuh
mõh
mõmm
mäh
mäts
mäu
mää
möh
möh-öh-ää
möö
müh-müh
mühüh
müks
müksti
müraki
mürr
mürts
mürtsaki
mürtsti
mütaku
müta-mäta
müta-müta
müt-müt
müt-müt-müt
müts
mütsti
mütt
naa
naah
nah
naks
naksti
nanuu
naps
napsti
nilpsti
nipsti
nirr
niuh
niuh-näuh
niuhti
noh
noksti
nolpsti
nonoh
nonoo
nonäh
noo
nooh
nooks
norr
nurr
nuuts
nõh
nõhh
nõka-nõka
nõks
nõksat-nõksat
nõks-nõks
nõksti
nõõ
nõõh
näeh
näh
nälpsti
nämm-nämm
näpsti
näts
nätsti
näu
näuh
näuhti
näuks
näuksti
nääh
nääks
nühkat-nühkat
oeh
oh
ohh
ohhh
oh-hoi
oh-hoo
ohoh
oh-oh-oo
oh-oh-hoo
ohoi
ohoo
oi
oih
oijee
oijeh
oo
ooh
oo-oh
oo-ohh
oot
ossa
ot
